# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\babbage\Desktop\university\FPGA\Lab\Assgn_1\Assignment1\Part3\Part3.csv
# Generated on: Sat Feb 24 15:29:01 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
HEX0[6],Output,PIN_V13,8,B8_N0,PIN_J10,,,,
HEX0[5],Output,PIN_V14,8,B8_N0,PIN_J11,,,,
HEX0[4],Output,PIN_AE11,8,B8_N0,PIN_J13,,,,
HEX0[3],Output,PIN_AD11,8,B8_N0,PIN_J14,,,,
HEX0[2],Output,PIN_AC12,8,B8_N0,PIN_E12,,,,
HEX0[1],Output,PIN_AB12,8,B8_N0,PIN_D12,,,,
HEX0[0],Output,PIN_AF10,8,B8_N0,PIN_H10,,,,
HEX1[6],Output,PIN_AB24,6,B6_N1,PIN_E10,,,,
HEX1[5],Output,PIN_AA23,6,B6_N1,PIN_B7,,,,
HEX1[4],Output,PIN_AA24,6,B6_N1,PIN_H11,,,,
HEX1[3],Output,PIN_Y22,6,B6_N1,PIN_A8,,,,
HEX1[2],Output,PIN_W21,6,B6_N1,PIN_H12,,,,
HEX1[1],Output,PIN_V21,6,B6_N1,PIN_F11,,,,
HEX1[0],Output,PIN_V20,6,B6_N1,PIN_D8,,,,
HEX4[6],Output,PIN_T3,1,B1_N0,PIN_D6,,,,
HEX4[5],Output,PIN_R6,1,B1_N0,PIN_D7,,,,
HEX4[4],Output,PIN_R7,1,B1_N0,PIN_B4,,,,
HEX4[3],Output,PIN_T4,1,B1_N0,PIN_A5,,,,
HEX4[2],Output,PIN_U2,1,B1_N0,PIN_K9,,,,
HEX4[1],Output,PIN_U1,1,B1_N0,PIN_E8,,,,
HEX4[0],Output,PIN_U9,1,B1_N0,PIN_A4,,,,
HEX5[6],Output,PIN_R3,1,B1_N0,PIN_A9,,,,
HEX5[5],Output,PIN_R4,1,B1_N0,PIN_G10,,,,
HEX5[4],Output,PIN_R5,1,B1_N0,PIN_C10,,,,
HEX5[3],Output,PIN_T9,1,B1_N0,PIN_D9,,,,
HEX5[2],Output,PIN_P7,1,B1_N0,PIN_B9,,,,
HEX5[1],Output,PIN_P6,1,B1_N0,PIN_B8,,,,
HEX5[0],Output,PIN_T2,1,B1_N0,PIN_C9,,,,
HEX6[6],Output,PIN_M4,2,B2_N1,PIN_A6,,,,
HEX6[5],Output,PIN_M5,2,B2_N1,PIN_C6,,,,
HEX6[4],Output,PIN_M3,2,B2_N1,PIN_B6,,,,
HEX6[3],Output,PIN_M2,2,B2_N1,PIN_C3,,,,
HEX6[2],Output,PIN_P3,1,B1_N0,PIN_G5,,,,
HEX6[1],Output,PIN_P4,1,B1_N0,PIN_G6,,,,
HEX6[0],Output,PIN_R2,1,B1_N0,PIN_C5,,,,
HEX7[6],Output,PIN_N9,2,B2_N1,PIN_C4,,,,
HEX7[5],Output,PIN_P9,2,B2_N1,PIN_F9,,,,
HEX7[4],Output,PIN_L7,2,B2_N1,PIN_C7,,,,
HEX7[3],Output,PIN_L6,2,B2_N1,PIN_J9,,,,
HEX7[2],Output,PIN_L9,2,B2_N1,PIN_G9,,,,
HEX7[1],Output,PIN_L2,2,B2_N1,PIN_B5,,,,
HEX7[0],Output,PIN_L3,2,B2_N1,PIN_D5,,,,
KEY[1],Input,PIN_N23,5,B5_N1,PIN_P2,,,,
KEY[0],Input,PIN_G26,5,B5_N0,PIN_P1,,,,
LEDG[8],Output,PIN_Y12,8,B8_N0,PIN_H8,,,,
LEDG[7],Output,PIN_Y18,7,B7_N0,PIN_W3,,,,
LEDG[6],Output,PIN_AA20,7,B7_N0,PIN_AB24,,,,
LEDG[5],Output,PIN_U17,7,B7_N0,PIN_L23,,,,
LEDG[4],Output,PIN_U18,7,B7_N0,PIN_AF17,,,,
LEDG[3],Output,PIN_V18,7,B7_N0,PIN_AB4,,,,
LEDG[2],Output,PIN_W19,7,B7_N0,PIN_AF7,,,,
LEDG[1],Output,PIN_AF22,7,B7_N0,PIN_U26,,,,
