# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\babbage\Desktop\university\FPGA\Lab\Assgn_1\New folder\Part5\Part5.csv
# Generated on: Sat Feb 24 16:09:04 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
KEY[0],Input,PIN_G26,5,B5_N0,PIN_P2,,,,
LEDG[0],Output,PIN_AE22,7,B7_N0,PIN_B10,,,,
LEDR[8],Output,PIN_AA14,7,B7_N1,PIN_B22,,,,
LEDR[7],Output,PIN_AC21,7,B7_N0,PIN_AA16,,,,
LEDR[6],Output,PIN_AD21,7,B7_N0,PIN_T10,,,,
LEDR[5],Output,PIN_AD23,7,B7_N0,PIN_C8,,,,
LEDR[4],Output,PIN_AD22,7,B7_N0,PIN_AC16,,,,
LEDR[3],Output,PIN_AC22,7,B7_N0,PIN_T2,,,,
LEDR[2],Output,PIN_AB21,7,B7_N0,PIN_H11,,,,
LEDR[1],Output,PIN_AF23,7,B7_N0,PIN_AA10,,,,
LEDR[0],Output,PIN_AE23,7,B7_N0,PIN_G11,,,,
SW[1],Input,PIN_N26,5,B5_N1,PIN_C13,,,,
SW[0],Input,PIN_N25,5,B5_N1,PIN_P1,,,,
