# Copyright (C) 1991-2013 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II 64-Bit Version 13.0.1 Build 232 06/12/2013 Service Pack 1 SJ Web Edition
# File: C:\Users\NoteBook\Desktop\Term8\FPGA\Labs\Lab2\Lab2\part3\animation.csv
# Generated on: Sat Mar 09 13:16:23 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
CLOCK_50,Input,PIN_N2,2,B2_N1,PIN_N2,,,,
KEY[3],Input,PIN_W26,6,B6_N1,PIN_D13,,,,
KEY[2],Input,PIN_P23,6,B6_N0,PIN_C13,,,,
KEY[1],Input,PIN_N23,5,B5_N1,PIN_AD11,,,,
KEY[0],Input,PIN_G26,5,B5_N0,PIN_G26,,,,
VGA_B[9],Output,PIN_B12,3,B3_N0,PIN_B12,,,,
VGA_B[8],Output,PIN_C12,3,B3_N0,PIN_C12,,,,
VGA_B[7],Output,PIN_B11,3,B3_N0,PIN_B11,,,,
VGA_B[6],Output,PIN_C11,3,B3_N0,PIN_C11,,,,
VGA_B[5],Output,PIN_J11,3,B3_N0,PIN_J11,,,,
VGA_B[4],Output,PIN_J10,3,B3_N0,PIN_J10,,,,
VGA_B[3],Output,PIN_G12,3,B3_N0,PIN_G12,,,,
VGA_B[2],Output,PIN_F12,3,B3_N0,PIN_F12,,,,
VGA_B[1],Output,PIN_J14,3,B3_N0,PIN_J14,,,,
VGA_B[0],Output,PIN_J13,3,B3_N0,PIN_J13,,,,
VGA_BLANK,Output,PIN_D6,3,B3_N1,PIN_D6,,,,
VGA_CLK,Output,PIN_B8,3,B3_N0,PIN_B8,,,,
VGA_G[9],Output,PIN_D12,3,B3_N0,PIN_D12,,,,
VGA_G[8],Output,PIN_E12,3,B3_N0,PIN_E12,,,,
VGA_G[7],Output,PIN_D11,3,B3_N0,PIN_D11,,,,
VGA_G[6],Output,PIN_G11,3,B3_N0,PIN_G11,,,,
VGA_G[5],Output,PIN_A10,3,B3_N0,PIN_A10,,,,
VGA_G[4],Output,PIN_B10,3,B3_N0,PIN_B10,,,,
VGA_G[3],Output,PIN_D10,3,B3_N0,PIN_D10,,,,
VGA_G[2],Output,PIN_C10,3,B3_N0,PIN_C10,,,,
VGA_G[1],Output,PIN_A9,3,B3_N0,PIN_A9,,,,
VGA_G[0],Output,PIN_B9,3,B3_N0,PIN_B9,,,,
VGA_HS,Output,PIN_A7,3,B3_N1,PIN_A7,,,,
VGA_R[9],Output,PIN_E10,3,B3_N0,PIN_E10,,,,
VGA_R[8],Output,PIN_F11,3,B3_N0,PIN_F11,,,,
VGA_R[7],Output,PIN_H12,3,B3_N0,PIN_H12,,,,
VGA_R[6],Output,PIN_H11,3,B3_N0,PIN_H11,,,,
VGA_R[5],Output,PIN_A8,3,B3_N0,PIN_A8,,,,
VGA_R[4],Output,PIN_C9,3,B3_N1,PIN_C9,,,,
VGA_R[3],Output,PIN_D9,3,B3_N1,PIN_D9,,,,
VGA_R[2],Output,PIN_G10,3,B3_N1,PIN_G10,,,,
VGA_R[1],Output,PIN_F10,3,B3_N1,PIN_F10,,,,
VGA_R[0],Output,PIN_C8,3,B3_N1,PIN_C8,,,,
VGA_SYNC,Output,PIN_B7,3,B3_N1,PIN_B7,,,,
VGA_VS,Output,PIN_D8,3,B3_N1,PIN_D8,,,,
